a	@
store	sto:
storey	`sto:r\i:
storm	sto:m
story	`sto:r\i:
stout	st{Ot
stove	st@}v
straggle	str\{g@l
straight	str\{It
straightaway	str\{It@`w{I
straightforward	str\{It`fo:w@d
strain	str\{In
strained	str\{Ind
strand	str\{nd
strange	str\{IndZ
stranger	`str\{IndZ@
strangle	`str\{Ng@l
strap	str\{p
strategic	str\@`ti:dZIk
strategy	`str\{t@dZi:
straw	str\o:
stray	str\{I
streak	str\i:k
stream	str\i:m
streamer	`str\i:m@
street	str\i:t
strength	str\eNkT
strenuous	`str\enj}:@s
stress	str\es
stretch	str\etS
stretched	str\etSt
strew	str\}:
stricken	`str\Ik@n
strict	str\Ikt
stride	str\Aed
strife	str\Aef
strike	str\Aek
striking	`str\AekIN
string	str\IN
strip	str\Ip
stripe	str\Aep
stripper	`str\Ip@
strive	str\Aev
strode	str\@}d
stroke	str\@}k
stroll	str\@}l
stroller	`str\@}l@
strong	str\ON
strove	str\@}v
struck	str\6k
structure	`str\6ktS@
struggle	`str\6g@l
stub	st6b
stubborn	`st6b@n
stubby	`st6bi:
stuck	st6k
stuck-up	`st6k6p
student	`stj}:d@nt
studio	`stj}:di:@}
study	`st6di:
stuff	st6f
stuffing	`st6fIN
stuffy	`st6fi:
stumble	`st6mb@l
stump	st6mp
stumpy	`st6mpi:
stun	st6n
stung	st6N
stunning	`st6nIN
stupid	`stj}:p@d
sturdy	`st3:di:
stutter	`st6t@
style	stAel
stylish	`stAelIS
subdivide	`s6bd@vAed
subdue	s@b`dj}:
subdued	s@b`dj}:d
subject	`s6bdZekt
submarine	`s6bm@r\i:n
submerge	s@b`m3:dZ
submit	s@b`mIt
subordinate	s@b`o:d@n@t
subscribe	s@b`skr\Aeb
subscriber	s@b`skr\Aeb@
subscription	s@b`skr\IpS@n
subsequent	`s6bs@kw@nt
subside	s@b`sAed
subsidiary	s@b`sIdZ@r\i:
subsidy	`s6bs@di:
substance	`s6bst@ns
substantial	s@b`st{nS@l
substitute	`s6bst@tS}:t
subtitle	`s6btAet@l
subtle	`s6t@l
subtract	s@b`tr\{kt
suburb	`s6b3:b
suburbia	s@`b3:bi:@
succeed	s@k`si:d
success	s@k`ses
such	s6tS
suck	s6k
sudden	`s6d@n
suds	s6dz
sue	s}:
suede	sw{Id
suffer	`s6f@
suffering	`s6f@r\IN
sufficient	s@`fIS@nt
suffix	`s6fIks
suffocate	`s6f@k{It
sugar	`SUg@
suggest	s@`dZest
suicidal	s}:@`sAed@l
suicide	`s}:@sAed
suit	s}:t
suitable	`s}:t@b@l
suitcase	`s}:tk{Is
suite	swi:t
suited	`s}:t@d
sulk	s6lk
sullen	`s6l@n
sultana	s6l`t6:n@
sultry	`s6ltr\i:
sum	s6m
summary	`s6m@r\i:
summer	`s6m@
summit	`s6m@t
summon	`s6m@n
summons	`s6m@nz
sumptuous	`s6mptS}:@s
sun	s6n
sunbake	`s6nb{Ik
sunburn	`s6nb3:n
Sunday	`s6nd{I
sundry	`s6ndr\i:
sung	s6N
sunglasses	`s6ngl6:s@z
sunk	s6Nk
sunken	`s6Nk@n
sunlight	`s6nlAet
sunny	`s6ni:
sunrise	`s6nr\Aez
sunscreen	`s6nskr\i:n
sunset	`s6nset
sunshine	`s6nSAen
sunstroke	`s6nstr\@}k
suntan	`s6nt{n
super	`s}:p@
superannuation	`s}:p@r\{nj}:`{IS@n
superb	s@`p3:b
superficial	s}:p@`fIS@l
superintendent	s}:p@r\In`tend@nt
superior	s@`pI@r\i:@
superlative	s@`p3:l@tIv
supermarket	`s}:p@m6:k@t
superstitious	s}:p@`stIS@s
supervise	`s}:p@vAez
supper	`s6p@
supple	`s6p@l
supplement	`s6pl@m@nt
supply	s@`plAe
support	s@`po:t
supportive	s@`po:tIv
suppose	s@`p@}z
supposed	s@`p@}zd
suppress	s@`pr\es
supreme	s@`pr\i:m
sure	So:
surely	`So:li:
surf	s3:f
surface	`s3:f@s
surfboard	`s3:fbo:d
surfing	s3:fIN
surge	s3:dZ
surgeon	`s3:dZ@n
surgery	`s3:dZ@r\i:
surly	`s3:li:
surname	`s3:n{Im
surpass	s@`p6:s
surplus	`s3:pl@s
surprise	s@`pr\Aez
surrender	s@`r\end@
surround	s@`r\{Ond
surroundings	s@`r\{OndINz
survey	s@`v{I
surveyor	s@`v{I@
survive	s@`vAev
Susan	s}:z@n
suspect	s@`spekt
suspend	s@`spend
suspense	s@`spens
suspension	s@`spenS@n
suspicion	s@`spIS@n
suspicious	s@`spIS@s
suss	s6s
sustain	s@`st{In
swag	sw{g
swagger	`sw{g@
swallow	`swOl@}
swam	sw{m
swamp	swOmp
swap	swOp
swarm	swo:m
swarthy	`swo:Di:
swat	swOt
sway	sw{I
swear	swe:
sweat	swet
sweater	`swet@
sweep	swi:p
sweeping	`swi:pIN
sweet	swi:t
sweeten	`swi:t@n
sweetheart	`swi:th6:t
swell	swel
swelling	`swelIN
swept	swept
swerve	sw3:v
swift	swIft
swim	swIm
swimmers	`swIm@z
swimsuit	`swIms}:t
swindle	`swInd@l
swing	swIN
swipe	swAep
switch	swItS
switchboard	`swItSbo:d
switched	swItSt
swollen	`sw@}l@n
swoop	sw}:p
sword	so:d
swore	swo:
sworn	swo:n
swum	sw6m
swung	sw6N
sycamore	sIk@mo:
syllable	`sIl@b@l
syllabus	`sIl@b@s
symbol	`sImb@l
symmetry	`sIm@tr\i:
sympathy	`sImp@Ti:
symphony	`sImf@ni:
symptom	`sImpt@m
synagogue	`sIn@gOg
syndicate	`sInd@k@t
synonym	`sIn@nIm
synopsis	s@`nOps@s
synthetic	sIn`TetIk
syringe	s@`r\IndZ
syrup	`sIr\@p
system	`sIst@m
T	ti:
t	ti:
T-shirt	`ti:S3:t
ta	t6:
tab	t{b
tabby	`t{bi:
table	`t{Ib@l
tablecloth	`t{Ib@lklOT
tablespoon	`t{Ib@lsp}:n
tablet	`t{bl@t
tableware	`t{Ib@lwe:
tabloid	`t{bloId
taboo	t@`b}:
tabulate	`t{bj@l{It
tacit	`t{s@t
taciturn	`t{s@t3:n
tack	t{k
tackle	`t{k@l
tacky	`t{ki:
tact	t{kt
tactic	`t{ktIk
tactics	`t{ktIks
TAFE	t{If
tag	t{g
tail	t{Il
tailor	`t{Il@
taipan	`tAep{n
take	t{Ik
take-off	`t{IkOf
takeaway	`t{Ik@w{I
taken	t{Ik@n
takings	`t{IkINz
tale	t{Il
talent	`t{l@nt
talk	to:k
talkback	`to:kb{k
tall	to:l
tally	`t{li:
talon	`t{l@n
tame	t{Im
tamper	`t{mp@
tampon	`t{mpOn
tan	t{n
tandem	`t{nd@m
tang	t{N
tangent	`t{ndZ@nt
tangerine	t{ndZ@`r\i:n
tangible	`t{ndZ@b@l
tangle	`t{Ng@l
tank	t{Nk
tankard	`t{Nk@d
tanker	`t{Nk@
tantalise	`t{nt@lAez
tantamount	`t{nt@m{Ont
tantrum	`t{ntr\@m
tap	t{p
tape	t{Ip
tape-recorder	`t{Ipr\@ko:d@
taper	`t{Ip@
tapestry	`t{p@str\i:
tar	t6:
target	`t6:g@t
tariff	`t{r\@f
tarmac	`t6:m{k
tarnish	`t6:nIS
tarpaulin	t6:`po:l@n
tarragon	`t{r\@g@n
tart	t6:t
tartan	`t6:t@n
Tas.	t{z`m{Ini:@
task	t6:sk
tassel	`t{s@l
taste	t{Ist
tasteful	`t{IstfUl
tasteless	`t{Istl@s
tasty	`t{Isti:
tattered	`t{t@d
tatters	`t{t@z
tattoo	t{`t}:
tatty	`t{ti:
taught	to:t
taunt	to:nt
taut	to:t
tautology	to:`tOl@dZi:
tavern	`t{v@n
taw	to:
tawdry	`to:dr\i:
tawny	`to:ni:
tax	t{ks
taxi	`t{ksi:
tea	ti:
teabag	`ti:b{g
teach	ti:tS
teacher	`ti:tS@
team	ti:m
teapot	`ti:pOt
tear	tI@
tearing	te:r\IN
tears	tI@z
tease	ti:z
teaspoon	`ti:sp}:n
teat	ti:t
tech	tek
technical	`teknIk@l
technician	tek`nIS@n
technique	tek`ni:k
technology	tek`nOl@dZi:
tedious	`ti:di:@s
tee	ti:
teem	ti:m
teenager	`ti:n{IdZ@
teens	ti:nz
teeth	ti:T
teetotal	`ti:t@}t@l
telecast	`tel@k6:st
telecommunications	tel@k@mj}:n@`k{IS@ns
telepathy	t@`lep@Ti:
telephone	`tel@f@}n
telescope	`tel@sk@}p
television	`tel@vIZ@n
tell	tel
teller	`tel@
temper	`temp@
temperament	`tempr\@m@nt
temperamental	tempr\@`ment@l
temperature	`tempr\@tS@
temporary	`tempr\i:
tempt	tempt
tempting	temptIN
ten	ten
tenacious	t@`n{IS@s
tenant	`ten@nt
tend	tend
tended	tend@d
tender	`tend@
tendon	`tend@n
tenement	`ten@m@nt
tennis	`ten@s
tenor	`ten@
tense	tens
tent	tent
tentacle	`tent@k@l
tentative	`tent@tIv
tenth	tenT
tenuous	`tenj}:@s
tepid	`tep@d
term	t3:m
terminal	`t3:m@n@l
terminate	`t3:m@n{It
terminology	t3:m@`nOl@dZi:
terminus	`t3:m@n@s
termite	`t3:mAet
terrace	`ter\@s
terrain	t@`r\{In
terrestrial	t@`r\estr\i:@l
terrible	`ter\@b@l
terribly	`ter\@bli:
terriers	ter\i:@z
terrific	t@`r\IfIk
terrify	`ter\@fAe
territory	`ter\@tr\i:
terror	`ter\@
terrorise	`ter\@r\Aez
terrorism	`ter\@r\Iz@m
terse	t3:s
tertiary	`t3:S@r\i:
test	test
testament	`test@m@nt
testicle	`testIk@l
testify	`test@fAe
testimonial	test@`m@}ni:@l
testimony	`test@m@ni:
tether	`teD@
text	tekst
texta	`tekst@
textbook	`tekstbUk
textile	`tekstAel
texture	`tekstS@
Thai	tAe
than	D{n
thank	T{Nk
that	D{t
thatch	T{tS
thaw	To:
the	D@
theatre	`TI@t@
theatrical	Ti:`{tr\Ik@l
theft	Teft
their	De:
theirs	De:z
them	Dem
theme	Ti:m
themselves	D@m`selvz
then	Den
theology	Ti:`Ol@dZi:
theorem	`TI@r\@m
theory	`TI@r\i:
therapeutic	Ter\@`pj}:tIk
therapy	`Ter\@pi:
there	De:
there'll	De:l
thereabouts	De:r\@`b{Ots
thereafter	De:r\`6:ft@
thereby	De:`bAe
therefore	`De:fo:
therell	De:l
thereupon	De:r\@`pOn
thermometer	T@`mOm@t@
thermos	`T3:mOs
thermostat	`T3:m@st{t
thesaurus	T@`so:r\@s
these	Di:z
thesis	`Ti:s@s
they	D{I
thick	TIk
thicket	`TIk@t
thief	Ti:f
thigh	TAe
thimble	`TImb@l
thin	TIn
thing	TIN
think	TINk
third	T3:d
thirst	T3:st
thirteen	T3:`ti:n
thirteenth	T3:`ti:nT
thirty	`T3:ti:
this	DIs
thistle	`TIs@l
thong	TON
thorn	To:n
thorough	`T6r\@
thoroughfare	`T6r\@fe:
thoroughly	`T6r\@li:
those	D@}z
though	D@}
thought	To:t
thoughtful	`To:tfUl
thoughtless	`To:tl@s
thousand	`T{Oz@nd
thousandth	`T{Oz@nT
thrash	Tr\{S
thread	Tr\ed
threadbare	`Tr\edbe:
threat	Tr\et
threaten	`Tr\et@n
three	Tr\i:
three-dimensional	Tr\i:d@`menS@n@l
thresh	Tr\eS
threshold	`Tr\eSh@}ld
threw	Tr\}:
thrift	Tr\Ift
thrifty	Tr\Ifti:
thrill	Tr\Il
thriller	`Tr\Il@
thrive	Tr\Aev
throat	Tr\@}t
throb	Tr\Ob
throne	Tr\@}n
throng	Tr\ON
throttle	`Tr\Ot@l
through	Tr\}:
throughout	Tr\}:`{Ot
throw	Tr\@}
thrust	Tr\6st
thud	T6d
thug	T6g
thumb	T6m
thump	T6mp
thunder	`T6nd@
Thursday	`T3:zd{I
thus	D6s
thwart	Two:t
thyme	tAem
thyroid	`TAer\oId
tick	tIk
ticket	`tIk@t
tickle	`tIk@l
ticklish	`tIklIS
tiddly	`tIdli:
tide	tAed
tidy	`tAedi:
tie	tAe
tier	`tI@
tiger	tAeg@
tight	tAet
tights	tAets
tile	tAel
till	tIl
tilt	tIlt
tilts	tIlts
timber	`tImb@
time	tAem
timely	`tAemli:
timetable	`tAemt{Ib@l
timid	`tIm@d
tin	tIn
tinea	`tIni:@
tinge	tInZ
tingle	`tINg@l
tinker	`tINk@
tinkle	`tINk@l
tinnie	`tIni:
tinny	`tIni:
tinsel	`tIns@l
tint	tInt
tiny	`tAeni:
tip	tIp
tipsy	`tIpsi:
tirade	tAe`r\{Id
tire	tAe@
tired	tAe@d
tiring	`tAe@r\IN
tissue	`tIS}:
tit	tIt
titbit	`tItbIt
title	`tAet@l
titter	`tIt@
to	t}:
toad	t@}d
toadstool	`t@}dst}:l
toast	t@}st
toaster	`t@}st@
tobacco	t@`b{k@}
toboggan	t@`bOg@n
today	t@`d{I
toddle	`tOd@l
toddler	`tOdl@
toe	t@}
together	t@`geD@
toil	toIl
toilet	`toIl@t
toiletries	`toIl@tr\i:z
token	`t@}k@n
told	t@}ld
tolerable	`tOl@r\@b@l
tolerant	`tOl@r\@nt
tolerate	`tOl@r\{It
toll	tOl
tomato	t@`m6:t@}
tomb	t}:m
tombstone	`t}:mst@}n
tomcat	`tOmk{t
tomorrow	t@`mOr\@}
ton	t6n
tone	t@}n
tongue	t6N
tonic	`tOnIk
tonight	t@`nAet
tonne	tOn
tonsil	`tOns@l
tonsilitis	tOns@`lAet@s
too	t}:
took	tUk
tool	t}:l
toot	t}:t
tooth	t}:T
toothache	`t}:T{Ik
toothbrush	`t}:Tbr\6S
toothpaste	`t}:Tp{Ist
toothpick	`t}:TpIk
top	tOp
topic	`tOpIk
topical	`tOpIk@l
topless	`tOpl@s
topping	`tOpIN
topple	`tOp@l
torch	to:tS
tore	to:
torment	`to:ment
torn	to:n
tortuous	`to:tS}:@s
torture	`to:tS@
toss	tOs
total	`t@}t@l
totalitarian	t@}t{l@`te:r\i:@n
totem	`t@}t@m
totter	`tOt@
touch	t6tS
touchy	`t6tSi:
tough	t6f
tour	tU@
tourism	`tU@r\Iz@m
tourist	`tU@r\@st
tourists	t}:r\@sts
tournament	`to:n@m@nt
tow	t@}
towards	t@`wo:dz
towel	`t{O@l
tower	t{O@
town	t{On
toxic	`tOksIk
toxin	`tOks@n
toy	toI
trace	tr\{Is
track	tr\{k
tracksuit	`tr\{ks}:t
tractor	`tr\{kt@
trade	tr\{Id
trade-in	`tr\{IdIn
trademark	`tr\{Idm6:k
tradition	tr\@`dIS@n
traffic	`tr\{fIk
tragedy	`tr\{dZ@di:
tragic	`tr\{dZIk
trail	tr\{Il
trailer	`tr\{Il@
train	tr\{In
trainee	tr\{I`ni:
training	`tr\{InIN
trait	tr\{It
traitor	`tr\{It@
tram	tr\{m
trample	`tr\{mp@l
tranquil	`tr\{Nkw@l
tranquilliser	`tr\{Nkw@lAez@
transfer	tr\{ns`f3:
transform	tr\{ns`fo:m
transfusion	tr\{ns`fj}:Z@n
transitive	`tr\{ns@tIv
translate	tr\{nz`l{It
transmit	tr\{nz`mIt
transparent	tr\{nz`pe:r\@nt
transplant	tr\{ns`pl{nt
transport	`tr\{nspo:t
trap	tr\{p
trauma	`tr\o:m@
travel	`tr\{v@l
tray	tr\{I
treacherous	`tr\etS@r\@s
treachery	`tr\etS@r\i:
tread	tr\ed
treasure	`tr\eZ@
treasurer	`tr\eZ@r\@
treat	tr\i:t
tree	tr\i:
tremble	`tr\emb@l
tremendous	tr\@`mend@s
trend	tr\end
trendy	`tr\endi:
trespass	`tr\esp@s
trial	tr\Ae@l
triangle	`tr\Ae{Ng@l
tribunal	tr\@`bj}:n@l
trick	tr\Ik
trickle	`tr\Ik@l
tried	tr\Aed
trifle	tr\Aef@l
trim	tr\Im
trip	tr\Ip
triple	`tr\Ip@l
triumph	`tr\Ae6mf
trivial	`tr\Ivi:@l
trod	tr\Od
trodden	`tr\Od@n
trolley	`tr\Oli:
troop	tr\}:p
tropical	`tr\OpIk@l
tropics	`tr\OpIks
trouble	`tr\6b@l
trousers	`tr\{Oz@z
trout	tr\{Ot
Troy	tr\oI
truck	tr\6k
trudge	tr\6dZ
true	tr\}:
trumpet	`tr\6mp@t
trunk	tr\6Nk
trust	tr\6st
trustworthy	`tr\6stw3:Di:
truth	tr\}:T
truthful	`tr\}:TfUl
try	tr\Ae
tube	tj}:b
tuck	t6k
Tuesday	`tj}:zd{I
tuft	t6ft
tug	t6g
tuition	tj}:`IS@n
tumble	`t6mb@l
tumour	`tj}:m@
tuna	`tj}:n@
tune	tj}:n
tuner	tS}:n@
tunnel	`t6n@l
Turkish	`t3:kIS
turn	t3:n
turquoise	`t3:kwoIz
tutor	`tj}:t@
TV	ti:`vi:
tweezers	`twi:z@z
twelfth	twelfT
twelve	twelv
twentieth	`twenti:@T
twenty	`twenti:
twice	twAes
twig	twIg
twilight	`twAelAet
twin	twIn
twinge	twIndZ
twinkle	`twINk@l
twins	twInz
twist	twIst
two	t}:
tying	`tAeIN
type	tAep
typewriter	`tAepr\Aet@
typhoid	`tAefoId
typhoon	tAe`f}:n
typical	`tIpIk@l
typically	`tIpIkli:
tyre	tAe@
U	j}:
u	j}:
ugly	`6gli:
ulcer	`6ls@
ultimate	`6lt@m@t
um	6m
umbrella	6m`br\el@
umpire	`6mpAe@
umpteen	6mp`ti:n
unanimous	j}:`n{n@m@s
uncanny	6n`k{ni:
uncle	`6Nk@l
unconscious	6n`kOnS@s
uncontrollable	6nk@ntr\@}l@b@l
under	`6nd@
underarm	`6nd@r\6:m
underdone	6nd@`d6n
undergo	6nd@`g@}
undergrowth	`6nd@gr\@}T
underhand	`6nd@h{nd
underline	6nd@`lAen
underneath	6nd@`ni:T
underpants	`6nd@p{nts
understand	6nd@`st{nd
understate	6nd@`st{It
undertake	6nd@`t{Ik
undertaker	`6nd@t{Ik@
underwear	`6nd@we:
undo	6n`d}:
uneasy	6n`i:zi:
unemployed	6n@m`ploId
uneventful	6n@`ventfUl
unforgettable	6nf@`get@b@l
unfortunately	6nfo:tS@n@tli:
uniform	`j}:n@fo:m
unify	`j}:n@fAe
unilateral	j}:ni:`l{t@r\@l
uninterested	6n`Intr\@st@d
union	`j}:nj@n
unique	j}:`ni:k
unisex	`j}:ni:seks
unison	`j}:n@s@n
unit	`j}:n@t
unite	j}:`nAet
universal	j}:n@`v3:s@l
universe	`j}:n@v3:s
university	j}:n@`v3:s@ti:
unknown	6n`n@}n
unlawful	6n`lo:fUl
unless	6n`les
unravel	6n`r\{v@l
unreal	6n`r\i:l
unrest	6n`r\est
unscathed	6n`sk{IDd
unscrew	6n`skr\}:
unscrupulous	6n`skr\}:pj@l@s
unsettle	6n`set@l
untangle	6n`t{Ng@l
unthinkable	6n`TINk@b@l
untie	6n`tAe
until	6n`tIl
unusual	6n`j}:Z}:@l
unwieldy	6n`wI@ldi:
up	6p
up-market	`6pm6:k@t
up-to-date	6pt@`d{It
upbringing	`6pbr\ININ
update	6p`d{It
upgrade	6p`gr\{Id
upheaval	6p`hi:v@l
uphill	6p`hIl
uphold	6p`h@}ld
upholstery	6p`h@}lstr\i:
upkeep	`6pki:p
upon	@`pOn
upper	`6p@
uppermost	`6p@m@}st
upright	`6pr\Aet
uprising	`6pr\AezIN
uproar	`6pr\o:
uproarious	6p`r\o:r\i:@s
upset	6p`set
upstairs	6p`ste:z
upstream	6p`str\i:m
uptight	6p`tAet
upturn	`6pt3:n
upward	`6pw@d
upwards	`6pw@dz
upwind	6p`wInd
uranium	j}:`r\{Ini:@m
urban	`3:b@n
urbane	3:`b{In
urge	3:dZ
urgent	`3:dZ@nt
urinal	`j}:r\@n@l
urine	`j}:r\@n
urn	3:n
us	6s
use	j}:z
used	j}:zd
usual	`j}:Z}:@l
ute	j}:t
utensil	j}:`tens@l
uterus	`j}:t@r\@s
utilities	j}:`tIl@ti:z
utter	`6t@
V	vi:
v	`v3:s@z
vacancy	`v{Ik@nsi:
vacant	`v{Ik@nt
vacation	v{I`k{IS@n
vaccine	`v{ksi:n
vacuum	`v{kj}:m
vagina	v@`dZAen@
vague	v{Ig
vain	v{In
valid	`v{l@d
valley	`v{li:
valuable	`v{lj@b@l
value	`v{lj}:
valve	v{lv
van	v{n
vandal	`v{nd@l
vanilla	v@`nIl@
vanish	`v{nIS
vanity	`v{n@ti:
vapour	`v{Ip@
variety	v@`r\Ae@ti:
various	`ve:r\i:@s
varnish	`v6:nIS
vary	`ve:r\i:
vase	v6:z
vast	v6:st
vat	v{t
VCR	vi:si:`6:
VDU	vi:di:`j}:
veal	vi:l
vegan	`vi:g@n
vegemite	vedZ@mAet
vegetable	`vedZt@b@l
vegetarian	vedZ@`te:r\i:@n
vegetation	vedZ@`t{IS@n
vegie	`vedZi:
vehement	`vi:@m@nt
vehicle	`vI@k@l
veil	v{Il
vein	v{In
velvet	`velv@t
veneer	v@`nI@
vengeance	`vendZ@ns
venom	`ven@m
ventilate	`vent@l{It
venture	`ventS@
venue	`venj}:
veranda	v@`r\{nd@
verb	v3:b
verbal	`v3:b@l
verdict	`v3:dIkt
verify	`ver\@fAe
versatile	`v3:s@tAel
verse	v3:s
version	`v3:Z@n
versus	`v3:s@z
vertebra	`v3:t@br\@
vertical	`v3:tIk@l
very	`ver\i:
vessel	`ves@l
vet	vet
veto	`vi:t@}
vex	veks
via	`vAe@
vibrate	vAe`br\{It
Vic.	vIk`to:r\i:@
vice	vAes
vicinity	v@`sIn@ti:
vicious	`vIS@s
victim	`vIkt@m
victimise	`vIkt@mAez
victory	`vIktr\i:
video	`vIdi:@}
videotape	`vIdi:@}t{Ip
Vietnamese	vi:etn@`mi:z
view	vj}:
viewer	`vj}:@
vigorous	`vIg@r\@s
vile	vAel
village	`vIlIdZ
villain	`vIl@n
vindictive	vIn`dIktIv
vine	vAen
vinegar	`vInIg@
vineyard	`vInj@d
vintage	`vIntIdZ
vinyl	`vAen@l
violent	`vAe@l@nt
violently	vAel@ntli:
violin	vAe@`lIn
VIP	vi:Ae`pi:
virgin	`v3:dZ@n
virile	`vIr\Ael
virtue	`v3:tS}:
virulent	`vIr\@l@nt
virus	`vAer\@s
visa	`vi:z@
visible	`vIz@b@l
vision	`vIZ@n
visit	`vIz@t
visual	`vIZ}:@l
visualise	`vIZj@lAez
vital	`vAet@l
vitality	vAe`t{l@ti:
vitamin	`vAet@m@n
vivacious	v@`v{IS@s
vivid	`vIv@d
vocabulary	v@`k{bj@l@r\i:
vocal	`v@}k@l
vocalist	`v@}k@l@st
vogue	v@}g
voice	voIs
void	voId
volcano	vOl`k{In@}
volley	`vOli:
volleyball	`vOli:bo:l
volume	`vOlj}:m
voluntary	`vOl@ntr\i:
volunteer	vOl@n`tI@
vomit	`vOm@t
voodoo	v}:d}:
vote	v@}t
voucher	`v{OtS@
vow	v{O
vowed	v{Od
vowel	`v{O@l
voyage	`voIIdZ
vs	`v3:s@z
vulgar	`v6lg@
vulnerable	`v6lnr\@b@l
W	west
w	`d6b@lj}:
WA	west@n@`str\{Ilj@
wad	wOd
waddle	`wOd@l
wade	w{Id
wafer	`w{If@
wag	w{g
wage	w{IdZ
wager	`w{IdZ@
wagon	w{g@n
wail	w{Il
waist	w{Ist
wait	w{It
waiter	`w{It@
waiting	w{ItIN
wake	w{Ik
walk	wo:k
walkover	`wo:k@}v@
wall	wo:l
wallet	`wOl@t
wallpaper	`wo:lp{Ip@
waltz	wo:lts
wander	`wOnd@
wane	w{In
wangle	`w{Ng@l
wank	w{nk
want	wOnt
wanted	wOnt@d
war	wo:
ward	wo:d
warden	`wo:d@n
warder	`wo:d@
wardrobe	`wo:dr\@}b
warehouse	`we:h{Os
warfare	`wo:fe:
warm	wo:m
warn	wo:n
warning	`wo:nIN
warp	wo:p
warped	wo:pt
warrant	`wOr\@nt
warranty	`wOr\@nti:
wart	wo:t
wary	`we:r\i:
was	wOz
wash	wOS
washed-out	`wOSt{Ot
washer	`wOS@
waste	w{Ist
watch	wOtS
watched	wOtSt
water	`wo:t@
watercolour	`wo:t@k6l@
waterfront	`wo:t@fr\6nt
waterlogged	`wo:t@lOgd
waterproof	`wo:t@pr\}:f
waterski	`wo:t@ski:
watertight	`wo:t@tAet
watt	wOt
wattle	`wOt@l
wave	w{Iv
wax	w{ks
way	w{I
way-out	`w{I{Ot
we	wi:
we'd	wi:d
we're	we:
weak	wi:k
wealth	welT
wealthy	`welTi:
weapon	`wep@n
wear	we:
weary	`wI@r\i:
weather	`weD@
weave	wi:v
web	web
webbed	webd
wedding	`wedIN
wedge	wedZ
Wednesday	`wenzd{I
weed	wi:d
week	wi:k
weekday	`wi:kd{I
weekend	wi:k`end
weekly	`wi:kli:
weep	wi:p
weigh	w{I
weight	w{It
weird	wI@d
welcome	`welk@m
weld	weld
welfare	`welfe:
well	wel
well-off	wel`Of
wellbeing	`welbi:IN
went	went
wept	wept
were	w3:
werent	w3:nt
west	west
western	`west@n
wet	wet
whack	w{k
wharf	wo:f
what	wOt
whatever	wOt`ev@
whatsoever	wOts@}`ev@
wheat	wi:t
wheel	wi:l
wheelbarrow	`wi:lb{r\@}
wheelchair	`wi:ltSe:
when	wen
whenever	wen`ev@
where	we:
whereabouts	`we:r\@b{Ots
whereas	we:r\`{z
wherever	we:r\`ev@
whether	`weD@
which	wItS
whiff	wIf
while	wAel
whilst	wAelst
whim	wIm
whimper	`wImp@
whine	wAen
whinge	wIndZ
whip	wIp
whirl	w3:l
whirlwind	`w3:lwInd
whirr	w3:
whisk	wIsk
whisker	`wIsk@
whisky	`wIski:
whisper	`wIsp@
whistle	`wIs@l
white	wAet
white-ant	`wAet{nt
white-out	`wAet{Ot
whitewash	`wAetwOS
whiz	wIz
who	h}:
who'd	h}:d
who'll	h}:l
whod	h}:d
whoever	h}:`ev@
whole	h@}l
wholemeal	`h@}lmi:l
wholesale	`h@}ls{Il
wholesome	`h@}ls@m
wholl	h}:l
whom	h}:m
whopping	`wOpIN
whore	ho:
whose	h}:z
why	wAe
wick	wIk
wicked	`wIk@d
wicket	`wIk@t
wide	wAed
widespread	`wAedspr\ed
widow	`wId@}
widower	`wId@}@
wife	wAef
wig	wIg
wiggle	`wIg@l
wild	wAeld
wilderness	`wIld@nes
wildlife	`wAeldlAef
wilful	`wIlfUl
will	wIl
willing	`wIlIN
willpower	`wIlp{O@
wilt	wIlt
wily	`wAeli:
wimp	wImp
win	wIn
wince	wIns
wind	wInd
window	`wInd@}
windows	wInd@}z
windowsill	`wInd@}sIl
windpipe	`wIndpAep
windscreen	`wIndskr\i:n
windsurf	`wInds3:f
windy	`wIndi:
wine	wAen
wing	wIN
wink	wINk
winning	`wInIN
winter	`wInt@
wipe	wAep
wire	`wAe@
wiry	`wAe@r\i:
wise	wAez
wish	wIS
wishy-washy	`wISi:wOSi:
wit	wIt
witch	wItS
with	wIT
withdraw	wID`dr\o:
withhold	wID`h@}ld
within	wID`In
without	wID`{Ot
witness	`wItn@s
wizard	`wIz@d
wobble	`wOb@l
woe	w@}
woeful	`w@}fUl
wog	wOg
wok	wOk
woke	w@}k
wolf	wUlf
woman	`wUm@n
womb	w}:m
wombat	`wOmb{t
won	w6n
wonder	`w6nd@
wonderful	`w6nd@fUl
wood	wUd
wooden	wUd@n
woodwork	`wUdw3:k
wool	wUl
Word	Pronunciation
word	w3:d
wore	wo:
work	w3:k
workbench	`w3:kbentS
workforce	`w3:kfo:s
workload	`w3:kl@}d
workout	`w3:k{Ot
workplace	`w3:kpl{Is
workshop	`w3:kSOp
world	w3:ld
worldwide	w3:ld`wAed
worm	w3:m
worn	wo:n
worn-out	wo:n`{Ot
worry	`w6r\i:
worse	w3:s
worship	`w3:SIp
worst	w3:st
worth	w3:T
worthwhile	w3:T`wAel
worthy	`w3:Di:
would	wUd
wound	w{Ond
woven	`w@}v@n
wow	w{O
wowser	`w{Oz@
Wran	r\{n
wrap	r\{p
wreath	r\i:T
