'em	@ m
turnspit	' t @@ n s - p I t
turnspits	' t @@ n s - p I t s
turnstile	' t @@ n s - t Ae l
turnstiles	' t @@ n s - t Ae l z
turntable	' t @@ n t - {I b l
turntables	' t @@ n t - {I b l z
turpentine	' t @@ p - @ n t - Ae n
turpitude	' t @@ p - I t - j }: d
turps	' t @@ p s
turquoise	' t @@ k - w oI z
turquoises	' t @@ k - w oI z - I z
turret	' t 6 r\ - I t
turrets	' t 6 r\ - I t s
turtle	' t @@ t l
turtledove	' t @@ t l d - 6 v
turtledoves	' t @@ t l d - 6 v z
turtleneck	' t @@ t l n - e k
turtlenecked	' t @@ t l n - e k t
turtles	' t @@ t l z
turves	' t @@ v z
tusk	' t 6 s k
tusks	' t 6 s k s
tussle	' t 6 s l
tussled	' t 6 s l d
tussles	' t 6 s l z
tussling	' t 6 s - l I N
tussock	' t 6 s - @ k
tussocks	' t 6 s - @ k s
tut	' t 6 t
tut-tut	' t 6 t - ' t 6 t
tutelage	' t j }: t - I l - I dZ
tutelary	' t j }: t - I l - @ r\ - i:
tutor	' t j }: t - @ r\
tutored	' t j }: t - @ d
tutorial	' t j }: t - ' o: r\ - i@ l
tutorially	' t j }: t - ' o: r\ - i@ l - i:
tutorials	' t j }: t - ' o: r\ - i@ l z
tutoring	' t j }: t - @ r\ - I N
tutors	' t j }: t - @ z
tutorship	' t j }: t - @ S - I p
tutorships	' t j }: t - @ S - I p s
tuts	' t 6 t s
tutted	' t 6 t - I d
tutti-frutti	' t }: t - I - ' f r\ }: t - i:
tutti-fruttis	' t }: t - I - ' f r\ }: t - I z
tutting	' t 6 t - I N
tutu	' t }: t - }:
tutus	' t }: t - }: z
tuxedo	' t 6 k - ' s i: d - @}
tuxedos	' t 6 k - ' s i: d - @} z
twaddle	' t w O d l
twaddled	' t w O d l d
twaddles	' t w O d l z
twaddling	' t w O d - l I N
twain	' t w {I n
twains	' t w {I n z
twang	' t w { N
twanged	' t w { N d
twanging	' t w { N - I N
twangs	' t w { N z
tweak	' t w i: k
tweaked	' t w i: k t
tweaking	' t w i: k - I N
tweaks	' t w i: k s
twee	' t w i:
tweed	' t w i: d
tweeds	' t w i: d z
tweet	' t w i: t
tweeted	' t w i: t - I d
tweeter	' t w i: t - @ r\
tweeters	' t w i: t - @ z
tweeting	' t w i: t - I N
tweets	' t w i: t s
tweezers	' t w i: z - @ z
twelfth	' t w e l f T
twelfths	' t w e l f T s
twelve	' t w e l v
twelvemonth	' t w e l v - m 6 n T
twelvemonths	' t w e l v - m 6 n T s
twelves	' t w e l v z
twenties	' t w e n t - I z
twentieth	' t w e n t - i@ T
twentieths	' t w e n t - i@ T s
twenty	' t w e n t - i:
twerp	' t w @@ p
twerps	' t w @@ p s
twice	' t w Ae s
twiddle	' t w I d l
twiddled	' t w I d l d
twiddles	' t w I d l z
twiddling	' t w I d - l I N
twiddly	' t w I d - l i:
twig	' t w I g
twigged	' t w I g d
twiggier	' t w I g - i@ r\
twiggiest	' t w I g - I - I s t
twigging	' t w I g - I N
twiggy	' t w I g - i:
twigs	' t w I g z
twilight	' t w Ae l - Ae t
twilit	' t w Ae l - I t
twill	' t w I l
twilled	' t w I l d
twin	' t w I n
twine	' t w Ae n
twined	' t w Ae n d
twines	' t w Ae n z
twinge	' t w I n dZ
twinges	' t w I n dZ - I z
twining	' t w Ae n - I N
twinkle	' t w I N k l
twinkled	' t w I N k l d
twinkles	' t w I N k l z
twinkling	' t w I N k - l I N
twinned	' t w I n d
twinning	' t w I n - I N
twins	' t w I n z
twirl	' t w @@ l
twirled	' t w @@ l d
twirling	' t w @@ l - I N
twirls	' t w @@ l z
twist	' t w I s t
twisted	' t w I s - t I d
twister	' t w I s - t @ r\
twisters	' t w I s - t @ z
twistier	' t w I s - t i@ r\
twistiest	' t w I s - t I - I s t
twisting	' t w I s - t I N
twists	' t w I s t s
twisty	' t w I s - t i:
twit	' t w I t
twitch	' t w I tS
twitched	' t w I tS t
twitches	' t w I tS - I z
twitching	' t w I tS - I N
twits	' t w I t s
twitted	' t w I t - I d
twitter	' t w I t - @ r\
twittered	' t w I t - @ d
twittering	' t w I t - @ r\ - I N
twitters	' t w I t - @ z
twitting	' t w I t - I N
two	' t }:
two-a-penny	' t }: - @ - ' p e n - i:
two-edged	' t }: - ' e dZ d
two-faced	' t }: - ' f {I s t
two-funnelled	' t }: - ' f 6 n - @ l d
two-handed	' t }: - ' h { n d - I d
two-piece	' t }: - p i: s
two-ply	' t }: - p l Ae
two-seater	' t }: - ' s i: t - @ r\
two-seaters	' t }: - ' s i: t - @ z
two-step	' t }: - s t e p
two-steps	' t }: - s t e p s
two-timing	' t }: - t Ae m - I N
two-way	' t }: - w {I
twofold	' t }: f - @} l d
twopence	' t 6 p - @ n s
twopences	' t 6 p - @ n s - I z
twopenny	' t 6 p - @ n - i:
twopenny-halfpenny	' t 6 p - n I - ' h {I p - n i:
twos	' t }: z
tycoon	' t Ae k - ' }: n
tycoons	' t Ae k - ' }: n z
tying	' t Ae - I N
tyke	' t Ae k
tykes	' t Ae k s
tympana	' t I m p - @ n - @
tympanum	' t I m p - @ n - @ m
tympanums	' t I m p - @ n - @ m z
type	' t Ae p
typecast	' t Ae p - k 6: s t
typecasting	' t Ae p - k 6: s - t I N
typecasts	' t Ae p - k 6: s t s
typed	' t Ae p t
typeface	' t Ae p - f {I s
typefaces	' t Ae p - f {I s - I z
types	' t Ae p s
typescript	' t Ae p - s k r\ I p t
typescripts	' t Ae p - s k r\ I p t s
typesetter	' t Ae p - s e t - @ r\
typesetters	' t Ae p - s e t - @ z
typewriter	' t Ae p - r\ Ae t - @ r\
typewriters	' t Ae p - r\ Ae t - @ z
typewritten	' t Ae p - r\ I t n
typhoid	' t Ae f - oI d
typhoon	' t Ae f - ' }: n
typhoons	' t Ae f - ' }: n z
typhus	' t Ae f - @ s
typical	' t I p - I k l
typically	' t I p - I k - l i:
typified	' t I p - I f - Ae d
typifies	' t I p - I f - Ae z
typify	' t I p - I f - Ae
typifying	' t I p - I f - Ae - I N
typing	' t Ae p - I N
typist	' t Ae p - I s t
typists	' t Ae p - I s t s
typographer	' t Ae p - ' O g - r\ @ f - @ r\
typographers	' t Ae p - ' O g - r\ @ f - @ z
typographic	' t Ae p - @ g - ' r\ { f - I k
typographically	' t Ae p - @ g - ' r\ { f - I k - l i:
typography	' t Ae p - ' O g - r\ @ f - i:
tyrannical	' t I r\ - ' { n - I k l
tyrannies	' t I r\ - @ n - I z
tyrannize	' t I r\ - @ n - Ae z
tyrannized	' t I r\ - @ n - Ae z d
tyrannizes	' t I r\ - @ n - Ae z - I z
tyrannizing	' t I r\ - @ n - Ae z - I N
tyrannous	' t I r\ - @ n - @ s
tyranny	' t I r\ - @ n - i:
tyrant	' t Ae - @ r\ - @ n t
tyrants	' t Ae - @ r\ - @ n t s
tyre	' t Ae - @ r\
tyres	' t Ae - @ z
tyro	' t Ae - @ r\ - @}
tyros	' t Ae - @ r\ - @} z
tzar	' z 6: r\
tzarina	' z 6: r\ - ' i: n - @
tzarinas	' z 6: r\ - ' i: n - @ z
tzars	' z 6: z
u	' j }:
u's	' j }: z
ubiquitous	' j }: b - ' I k - w I t - @ s
ubiquity	' j }: b - ' I k - w I t - i:
udder	' 6 d - @ r\
udders	' 6 d - @ z
ugh	' @@
uglier	' 6 g - l i@ r\
ugliest	' 6 g - l I - I s t
uglified	' 6 g - l I f - Ae d
uglifies	' 6 g - l I f - Ae z
uglify	' 6 g - l I f - Ae
uglifying	' 6 g - l I f - Ae - I N
ugliness	' 6 g - l I n - @ s
ugly	' 6 g - l i:
ukase	' j }: k - ' {I s
ukases	' j }: k - ' {I s - I z
ukulele	' j }: k - @ l - ' {I l - i:
ukuleles	' j }: k - @ l - ' {I l - I z
ulcer	' 6 l s - @ r\
ulcerate	' 6 l s - @ r\ - {I t
ulcerated	' 6 l s - @ r\ - {I t - I d
ulcerates	' 6 l s - @ r\ - {I t s
ulcerating	' 6 l s - @ r\ - {I t - I N
ulceration	' 6 l s - @ r\ - ' {I S - @ n
ulcerations	' 6 l s - @ r\ - ' {I S - @ n z
ulcerous	' 6 l s - @ r\ - @ s
ulcers	' 6 l s - @ z
ulna	' 6 l n - @
ulnae	' 6 l n - i:
ulster	' 6 l s - t @ r\
ulsters	' 6 l s - t @ z
ulterior	' 6 l t - ' i@ r\ - i@ r\
ultimata	' 6 l t - I m - ' {I t - @
ultimate	' 6 l t - I m - @ t
ultimately	' 6 l t - I m - @ t - l i:
ultimatum	' 6 l t - I m - ' {I t - @ m
ultimatums	' 6 l t - I m - ' {I t - @ m z
ultimo	' 6 l t - I m - @}
ultra vires	' 6 l t - r\ @ - ' v Ae - @ r\ - i: z
ultra-	' 6 l t - r\ @
ultramarine	' 6 l t - r\ @ m - @ r\ - ' i: n
ultramarines	' 6 l t - r\ @ m - @ r\ - ' i: n z
ultramontane	' 6 l t - r\ @ m - O n t - ' {I n
ultrasonic	' 6 l t - r\ @ s - ' O n - I k
ultraviolet	' 6 l t - r\ @ v - ' Ae - @ l - @ t
ululate	' j }: l j - U l - {I t
ululated	' j }: l j - U l - {I t - I d
ululates	' j }: l j - U l - {I t s
ululating	' j }: l j - U l - {I t - I N
ululation	' j }: l j - U l - ' {I S - @ n
ululations	' j }: l j - U l - ' {I S - @ n z
umber	' 6 m b - @ r\
umbers	' 6 m b - @ z
umbilical	' 6 m b - ' I l - I k l
umbrage	' 6 m b - r\ I dZ
umbrella	' 6 m b - ' r\ e l - @
umbrellas	' 6 m b - ' r\ e l - @ z
umlaut	' U m - l au t
umlauts	' U m - l au t s
umpire	' 6 m p - Ae - @ r\
umpired	' 6 m p - Ae - @ d
umpires	' 6 m p - Ae - @ z
umpiring	' 6 m p - Ae - @ r\ - I N
umpteen	' 6 m p - t i: n
umpteenth	' 6 m p - t i: n T
un-	6 n
un-come-at-able	' 6 n - k 6 m - ' { t - @ b l
un-get-at-able	' 6 n - g e t - ' { t - @ b l
unabashed	' 6 n - @ b - ' { S t
unabated	' 6 n - @ b - ' {I t - I d
unable	' 6 n - ' {I b l
unabridged	' 6 n - @ b - ' r\ I dZ d
unacceptable	' 6 n - @ k - ' s e p - t @ b l
unacceptably	' 6 n - @ k - ' s e p - t @ b - l i:
unaccommodating	' 6 n - @ k - ' O m - @ d - {I t - I N
unaccompanied	' 6 n - @ k - ' 6 m p - @ n - I d
unaccountable	' 6 n - @ k - ' au n t - @ b l
unaccountably	' 6 n - @ k - ' au n t - @ b - l i:
unaccounted	' 6 n - @ k - ' au n t - I d
unaccustomed	' 6 n - @ k - ' 6 s - t @ m d
unacknowledged	' 6 n - @ k - ' n O l - I dZ d
unacquainted	' 6 n - @ k - ' w {I n t - I d
unadorned	' 6 n - @ d - ' o: n d
unadulterated	' 6 n - @ d - ' 6 l t - @ r\ - {I t - I d
unadventurous	' 6 n - @ d - ' v e n tS - @ r\ - @ s
unadvised	' 6 n - @ d - ' v Ae z d
unadvisedly	' 6 n - @ d - ' v Ae z - @ d - l i:
unaffected	' 6 n - @ f - ' e k - t I d
unafraid	' 6 n - @ f - ' r\ {I d
unaided	' 6 n - ' {I d - I d
unalienable	' 6 n - ' {I l - i@ n - @ b l
unaligned	' 6 n - @ l - ' Ae n d
unalloyed	' 6 n - @ l - ' oI d
unalterable	' 6 n - ' O l t - @ r\ - @ b l
unalterably	' 6 n - ' o: l t - @ r\ - @ b - l i:
unaltered	' 6 n - ' o: l t - @ d
unambiguous	' 6 n - { m b - ' I g - j u@ s
unambiguously	' 6 n - { m b - ' I g - j u@ s - l i:
unamended	' 6 n - @ m - ' e n d - I d
unanimity	' j }: n - @ n - ' I m - I t - i:
unanimous	' j }: n - ' { n - I m - @ s
unanimously	' j }: n - ' { n - I m - @ s - l i:
unannounced	' 6 n - @ n - ' au n s t
unanswerable	' 6 n - ' 6: n s - @ r\ - @ b l
unanswered	' 6 n - ' 6: n s - @ d
unanticipated	' 6 n - { n t - ' I s - I p - {I t - I d
unappealing	' 6 n - @ p - ' i: l - I N
unappetizing	' 6 n - ' { p - I t - Ae z - I N
unappreciated	' 6 n - @ p - ' r\ i: S - I - {I t - I d
unappreciative	' 6 n - @ p - ' r\ i: S - @ t - I v
unapproachable	' 6 n - @ p - ' r\ @} tS - @ b l
unarguable	' 6 n - ' 6: g - j u@ b l
unarguably	' 6 n - ' 6: g - j u@ b - l i:
unarmed	' 6 n - ' 6: m d
unarticulated	' 6 n - 6: t - ' I k - j U l - {I t - I d
unashamed	' 6 n - @ S - ' {I m d
unashamedly	' 6 n - @ S - ' {I m - I d - l i:
unasked	' 6 n - ' 6: s k t
unassailable	' 6 n - @ s - ' {I l - @ b l
unassailably	' 6 n - @ s - ' {I l - @ b - l i:
unassisted	' 6 n - @ s - ' I s - t I d
unassuming	' 6 n - @ s - ' j }: m - I N
unassumingly	' 6 n - @ s - ' j }: m - I N - l i:
unattached	' 6 n - @ t - ' { tS t
unattainable	' 6 n - @ t - ' Ae n - @ b l
unattainably	' 6 n - @ t - ' {I n - @ b - l i:
unattended	' 6 n - @ t - ' e n d - I d
unattractive	' 6 n - @ t - ' r\ { k - t I v
unattractively	' 6 n - @ t - ' r\ { k - t I v - l i:
unauthorized	' 6 n - ' o: T - @ r\ - Ae z d
unavailable	' 6 n - @ v - ' {I l - @ b l
unavailing	' 6 n - @ v - ' {I l - I N
unavoidable	' 6 n - @ v - ' oI d - @ b l
unavoidably	' 6 n - @ v - ' oI d - @ b - l i:
unawakened	' 6 n - @ w - ' {I k - @ n d
unaware	' 6 n - @ w - ' e@ r\
unawares	' 6 n - @ w - ' e@ z
unbacked	' 6 n b - ' { k t
unbalance	' 6 n b - ' { l - @ n s
unbalanced	' 6 n b - ' { l - @ n s t
unbalances	' 6 n b - ' { l - @ n s - I z
unbalancing	' 6 n b - ' { l - @ n s - I N
unbar	' 6 n b - ' 6: r\
unbarred	' 6 n b - ' 6: d
unbarring	' 6 n b - ' 6: r\ - I N
unbars	' 6 n b - ' 6: z
unbearable	' 6 n b - ' e@ r\ - @ b l
unbearably	' 6 n b - ' e@ r\ - @ b - l i:
unbeatable	' 6 n b - ' i: t - @ b l
unbeaten	' 6 n b - ' i: t n
unbecoming	' 6 n b - I k - ' 6 m - I N
unbecomingly	' 6 n b - I k - ' 6 m - I N - l i:
unbeknown	' 6 n b - I n - ' @} n
unbeknownst	' 6 n b - I n - ' @} n s t
unbelief	' 6 n b - I l - ' i: f
unbelievable	' 6 n b - I l - ' i: v - @ b l
unbelievably	' 6 n b - I l - ' i: v - @ b - l i:
unbeliever	' 6 n b - I l - ' i: v - @ r\
unbelievers	' 6 n b - I l - ' i: v - @ z
unbelieving	' 6 n b - I l - ' i: v - I N
unbelievingly	' 6 n b - I l - ' i: v - I N - l i:
unbeloved	' 6 n b - I l - ' 6 v d
unbend	' 6 n b - ' e n d
unbended	' 6 n b - ' e n d - I d
unbending	' 6 n b - ' e n d - I N
unbends	' 6 n b - ' e n d z
unbent	' 6 n b - ' e n t
unbiased	' 6 n b - ' Ae - @ s t
unbiassed	' 6 n b - ' Ae - @ s t
unbidden	' 6 n b - ' I d n
unbind	' 6 n b - ' Ae n d
unbinding	' 6 n b - ' Ae n d - I N
unbinds	' 6 n b - ' Ae n d z
unblock	' 6 n b - ' l O k
unblocked	' 6 n b - ' l O k t
unblocking	' 6 n b - ' l O k - I N
unblocks	' 6 n b - ' l O k s
unblushing	' 6 n b - ' l 6 S - I N
unblushingly	' 6 n b - ' l 6 S - I N - l i:
unbolt	' 6 n b - ' @} l t
unbolted	' 6 n b - ' @} l t - I d
unbolting	' 6 n b - ' @} l t - I N
unbolts	' 6 n b - ' @} l t s
unborn	' 6 n b - ' o: n
unbosom	' 6 n b - ' U z - @ m
unbosomed	' 6 n b - ' U z - @ m d
unbosoming	' 6 n b - ' U z - @ m - I N
unbosoms	' 6 n b - ' U z - @ m z
unbound	' 6 n b - ' au n d
unbounded	' 6 n b - ' au n d - I d
unbowed	' 6 n b - ' au d
unbreakable	' 6 n b - ' r\ {I k - @ b l
unbridled	' 6 n b - ' r\ Ae d l d
unbroken	' 6 n b - ' r\ @} k - @ n
unbuckle	' 6 n b - ' 6 k l
unbuckled	' 6 n b - ' 6 k l d
unbuckles	' 6 n b - ' 6 k l z
unbuckling	' 6 n b - ' 6 k - l I N
unburden	' 6 n b - ' @@ d n
unburdened	' 6 n b - ' @@ d n d
unburdening	' 6 n b - ' @@ d - n I N
unburdens	' 6 n b - ' @@ d n z
unburied	' 6 n b - ' e r\ - I d
unbutton	' 6 n b - ' 6 t n
unbuttoned	' 6 n b - ' 6 t n d
unbuttoning	' 6 n b - ' 6 t - n I N
unbuttons	' 6 n b - ' 6 t n z
uncalled-for	' 6 n k - ' o: l d - f o: r\
uncannily	' 6 n k - ' { n - I l - i:
uncanny	' 6 n k - ' { n - i:
uncared-for	' 6 n k - ' e@ d - f o: r\
uncaring	6 n k - ' {I r\ - I N
uncarpeted	' 6 n k - ' 6: p - I t - I d
unceasing	' 6 n s - ' i: s - I N
unceasingly	' 6 n s - ' i: s - I N - l i:
uncensored	' 6 n s - ' e n s - @ d
unceremonious	' 6 n s - ' e r\ - I m - ' @} n - i@ s
unceremoniously	' 6 n s - ' e r\ - I m - ' @} n - i@ s - l i:
unceremoniousness	' 6 n s - ' e r\ - I m - ' @} n - i@ s - n @ s
uncertain	' 6 n s - ' @@ t n
uncertainly	' 6 n s - ' @@ t - n l i:
uncertainties	' 6 n s - ' @@ t n t - I z
uncertainty	' 6 n s - ' @@ t n t - i:
unchain	' 6 n tS - ' {I n
unchained	' 6 n tS - ' {I n d
unchaining	' 6 n tS - ' {I n - I N
unchains	' 6 n tS - ' {I n z
unchallengeable	' 6 n tS - ' { l - @ n dZ - @ b l
unchallenged	' 6 n tS - ' { l - @ n dZ d
unchanged	' 6 n tS - ' {I n dZ d
unchanging	' 6 n tS - ' {I n dZ - I N
uncharacteristic	' 6 n k - { r\ - @ k - t @ r\ - ' I s - t I k
uncharacteristically	' 6 n k - { r\ - @ k - t @ r\ - ' I s - t I k - l i:
uncharitable	' 6 n tS - ' { r\ - I t - @ b l
uncharted	' 6 n tS - ' 6: t - I d
unchecked	' 6 n tS - ' e k t
unchivalrously	' 6 n S - ' I v - @ l r\ - @ s - l i:
unchristian	' 6 n k - ' r\ I s - tS @ n
uncivil	' 6 n s - ' I v - @ l
uncivilized	' 6 n s - ' I v - I l - Ae z d
unclaimed	' 6 n k - ' l {I m d
unclassified	' 6 n k - ' l { s - I f - Ae d
uncle	' 6 N k l
unclean	' 6 n k - ' l i: n
unclear	' 6 n k - ' l i@ r\
uncles	' 6 N k l z
unclouded	' 6 n k - ' l au d - I d
uncluttered	' 6 n k - ' l 6 t - @ d
unco	' 6 N k - @}
unco-operative	' 6 n k - @} - ' O p - @ r\ - @ t - I v
unco-ordinated	' 6 n k - @} - ' o: d - I n - {I t - I d
uncoloured	' 6 n k - ' 6 l - @ d
uncomfortable	' 6 n k - ' 6 m f - t @ b l
uncomfortably	' 6 n k - ' 6 m f - @ t - @ b - l i:
uncommercialized	' 6 n k - @ m - ' @@ S - @ l - Ae z d
uncommitted	' 6 n k - @ m - ' I t - I d
uncommon	' 6 n k - ' O m - @ n
uncommonly	' 6 n k - ' O m - @ n - l i:
uncommunicative	' 6 n k - @ m j - ' }: n - I k - @ t - I v
uncompetitive	' 6 n k - @ m p - ' e t - @ t - I v
uncomplaining	' 6 n k - @ m p - ' l {I n - I N
uncomplainingly	' 6 n k - @ m p - ' l {I n - I N - l i:
uncompleted	' 6 n k - @ m p - ' l i: t - I d
uncomplicated	' 6 n k - ' O m p - l I k - {I t - I d
uncomplimentary	' 6 n k - O m p - l I m - ' e n t - r\ i:
uncomprehending	' 6 n k - O m p - r\ I h - ' e n d - I N
uncompromising	' 6 n k - ' O m p - r\ @ m - Ae z - I N
unconcealed	' 6 n k - @ n s - ' i: l d
unconcern	' 6 n k - @ n s - ' @@ n
unconcerned	' 6 n k - @ n s - ' @@ n d
unconcernedly	' 6 n k - @ n s - ' @@ n - @ d - l i:
unconditional	' 6 n k - @ n d - ' I S - @ n l
unconditionally	' 6 n k - @ n d - ' I S - @ n - @ l - i:
unconditioned	' 6 n k - @ n d - ' I S - @ n d
unconfined	' 6 n k - @ n f - ' Ae n d
unconfirmed	' 6 n k - @ n f - ' @@ m d
unconformable	' 6 n k - @ n f - ' o: m - @ b l
uncongenial	' 6 n k - @ n dZ - ' i: n - i@ l
unconnected	' 6 n k - @ n - ' e k - t I d
unconquered	' 6 n k - ' O N k - @ d
unconscionable	' 6 n k - ' O n S - @ n - @ b l
unconscious	' 6 n k - ' O n S - @ s
unconsciouses	' 6 n k - ' O n S - @ s - I z
unconsciously	' 6 n k - ' O n S - @ s - l i:
unconsciousness	' 6 n k - ' O n S - @ s - n @ s
unconsidered	' 6 n k - @ n s - I d - @ d
unconstitutional	' 6 n k - O n s - t I t - ' j }: S - @ n l
unconstitutionally	' 6 n k - O n s - t I t - ' j }: S - @ n - @ l - i:
unconstrained	' 6 n k - @ n s - ' t r\ {I n d
unconstructive	' 6 n k - @ n s - ' t r\ 6 k - t I v
unconsummated	' 6 n k - ' O n s - @ m - {I t - I d
uncontaminated	' 6 n k - @ n t - ' { m - I n - {I t - I d
uncontrollable	' 6 n k - @ n t - ' r\ @} l - @ b l
uncontrollably	' 6 n k - @ n t - ' r\ @} l - @ b - l i:
uncontrolled	' 6 n k - @ n t - ' r\ @} l d
uncontroversial	' 6 n k - O n t - r\ @ v - ' @@ S l
unconventional	' 6 n k - @ n v - ' e n S - @ n l
unconventionality	' 6 n k - @ n v - ' e n S - @ n - ' { l - I t - i:
unconverted	' 6 n k - @ n v - ' @@ t - I d
unconvinced	' 6 n k - @ n v - ' I n s t
unconvincing	' 6 n k - @ n v - ' I n s - I N
uncooked	' 6 n k - ' U k t
uncork	' 6 n k - ' o: k
uncorked	' 6 n k - ' o: k t
uncorking	' 6 n k - ' o: k - I N
uncorks	' 6 n k - ' o: k s
uncorrected	' 6 n k - @ r\ - ' e k - t I d
uncorrelated	' 6 n k - ' O r\ - @ l - {I t - I d
uncorroborated	' 6 n k - @ r\ - ' O b - @ r\ - {I t - I d
uncouple	' 6 n k - ' 6 p l
uncoupled	' 6 n k - ' 6 p l d
uncouples	' 6 n k - ' 6 p l z
uncoupling	' 6 n k - ' 6 p - l I N
uncouth	' 6 n k - ' }: T
uncouthly	' 6 n k - ' }: T - l i:
uncouthness	' 6 n k - ' }: T - n @ s
uncover	' 6 n k - ' 6 v - @ r\
uncovered	' 6 n k - ' 6 v - @ d
uncovering	' 6 n k - ' 6 v - @ r\ - I N
uncovers	' 6 n k - ' 6 v - @ z
uncritical	' 6 n k - ' r\ I t - I k l
uncritically	' 6 n k - ' r\ I t - I k - l i:
uncross	' 6 n k - ' r\ O s
uncrossed	' 6 n k - ' r\ O s t
uncrosses	' 6 n k - ' r\ O s - I z
uncrossing	' 6 n k - ' r\ O s - I N
uncrowned	' 6 n k - ' r\ au n d
unction	' 6 N k - S @ n
unctuous	' 6 N k - tS u@ s
unctuously	' 6 N k - tS u@ s - l i:
uncultivated	' 6 n k - ' 6 l t - I v - {I t - I d
uncultured	' 6 n k - ' 6 l tS - @ d
uncurl	' 6 n k - ' @@ l
uncurled	' 6 n k - ' @@ l d
uncurling	' 6 n k - ' @@ l - I N
uncurls	' 6 n k - ' @@ l z
uncut	' 6 n k - ' 6 t
undamaged	' 6 n d - ' { m - I dZ d
undated	' 6 n d - ' {I t - I d
undaunted	' 6 n d - ' o: n t - I d
undeceive	' 6 n d - I s - ' i: v
undeceived	' 6 n d - I s - ' i: v d
undeceives	' 6 n d - I s - ' i: v z
undeceiving	' 6 n d - I s - ' i: v - I N
undecided	' 6 n d - I s - ' Ae d - I d
undeclared	' 6 n d - I k - ' l e@ d
undefeated	' 6 n d - I f - ' i: t - I d
undefended	' 6 n d - I f - ' e n d - I d
undeferential	' 6 n d - e f - @ r\ - ' e n S l
undefinable	' 6 n d - I f - ' Ae n - @ b l
undefined	' 6 n d - I f - ' Ae n d
undemanding	' 6 n d - I m - ' 6: n d - I N
undemocratic	' 6 n d - e m - @ k - ' r\ { t - I k
undemocratically	' 6 n d - e m - @ k - ' r\ { t - I k - l i:
undemonstrative	' 6 n d - I m - ' O n s - t r\ @ t - I v
undeniable	' 6 n d - I n - ' Ae - @ b l
undeniably	' 6 n d - I n - ' Ae - @ b - l i:
undenominational	' 6 n d - I n - ' O m - I n - ' {I S - @ n l
under	' 6 n d - @ r\
under-	' 6 n d - @ r\
under-the-counter	' 6 n d - @ - D @ - ' k au n t - @ r\
underact	' 6 n d - @ r\ - ' { k t
underacted	' 6 n d - @ r\ - ' { k - t I d
underacting	' 6 n d - @ r\ - ' { k - t I N
underacts	' 6 n d - @ r\ - ' { k t s
underage	' 6 n d - @ r\ - ' {I dZ
underarm	' 6 n d - @ r\ - 6: m
underbellies	' 6 n d - @ b - e l - I z
underbelly	' 6 n d - @ b - e l - i:
underbid	' 6 n d - @ b - ' I d
underbidding	' 6 n d - @ b - ' I d - I N
underbids	' 6 n d - @ b - ' I d z
underbred	' 6 n d - @ b - ' r\ e d
underbrush	' 6 n d - @ b - r\ 6 S
undercarriage	' 6 n d - @ k - { r\ - I dZ
undercarriages	' 6 n d - @ k - { r\ - I dZ - I z
undercharge	' 6 n d - @ tS - ' 6: dZ
undercharged	' 6 n d - @ tS - ' 6: dZ d
undercharges	' 6 n d - @ tS - ' 6: dZ - I z
undercharging	' 6 n d - @ tS - ' 6: dZ - I N
underclothes	' 6 n d - @ k - l @} D z
underclothing	' 6 n d - @ k - l @} D - I N
undercoat	' 6 n d - @ k - @} t
undercoats	' 6 n d - @ k - @} t s
undercover	' 6 n d - @ k - ' 6 v - @ r\
undercurrent	' 6 n d - @ k - 6 r\ - @ n t
undercurrents	' 6 n d - @ k - 6 r\ - @ n t s
undercut	' 6 n d - @ k - ' 6 t
undercuts	' 6 n d - @ k - ' 6 t s
undercutting	' 6 n d - @ k - ' 6 t - I N
underdeveloped	' 6 n d - @ d - I v - ' e l - @ p t
underdevelopment	' 6 n d - @ d - I v - ' e l - @ p - m @ n t
underdog	' 6 n d - @ d - O g
underdogs	' 6 n d - @ d - O g z
underdone	' 6 n d - @ d - ' 6 n
underemployed	' 6 n d - @ r\ - I m p - ' l oI d
underestimate	' 6 n d - @ r\ - ' e s - t I m - {I t
underestimated	' 6 n d - @ r\ - ' e s - t I m - {I t - I d
underestimates	' 6 n d - @ r\ - ' e s - t I m - {I t s
underestimating	' 6 n d - @ r\ - ' e s - t I m - {I t - I N
underestimation	' 6 n d - @ r\ - ' e s - t I m - ' {I S - @ n
underestimations	' 6 n d - @ r\ - ' e s - t I m - ' {I S - @ n z
underexpose	' 6 n d - @ r\ - I k - ' s p @} z
underexposed	' 6 n d - @ r\ - I k - ' s p @} z d
underexposes	' 6 n d - @ r\ - I k - ' s p @} z - I z
underexposing	' 6 n d - @ r\ - I k - ' s p @} z - I N
underexposure	' 6 n d - @ r\ - I k - ' s p @} Z - @ r\
underexposures	' 6 n d - @ r\ - I k - ' s p @} Z - @ z
underfed	' 6 n d - @ f - ' e d
underfelt	' 6 n d - @ f - e l t
underfloor	' 6 n d - @ f - ' l o: r\
underfoot	' 6 n d - @ f - ' U t
undergarment	' 6 n d - @ g - 6: m - @ n t
undergarments	' 6 n d - @ g - 6: m - @ n t s
undergo	' 6 n d - @ g - ' @}
undergoes	' 6 n d - @ g - ' @} z
undergoing	' 6 n d - @ g - ' @} - I N
undergone	' 6 n d - @ g - ' O n
undergraduate	' 6 n d - @ g - ' r\ { dZ - u@ t
undergraduates	' 6 n d - @ g - ' r\ { dZ - u@ t s
underground	' 6 n d - @ g - r\ au n d
